transcript_id,10-100,10-D,8-100,8-D,9-100,9-D
Prupe.3G275700.2_v2.0.a1,0,88,0,104,0,55
MSTRG.13295.7,34,246,253,216,324,0
MSTRG.15453.1,13,14,8,18,18,10
Prupe.2G198600.1_v2.0.a1,20,149,17,152,8,161
Prupe.5G203400.4_v2.0.a1,0,0,0,0,0,0
MSTRG.17841.5,49,24,29,93,99,0
MSTRG.17841.4,88,44,130,20,78,14
Prupe.7G026800.8_v2.0.a1,0,0,0,0,0,0
MSTRG.17841.3,16,26,75,12,40,20
MSTRG.7378.1,2283,288,4016,518,2698,282
MSTRG.353.2,0,0,0,0,4,0
MSTRG.16472.2,43,27,18,94,23,300
Prupe.5G223100.5_v2.0.a1,0,0,0,0,0,0
MSTRG.18906.1,55,31,35,21,33,25
MSTRG.3353.2,12,35,8,7,6,6
Prupe.4G047900.2_v2.0.a1,0,0,0,0,129,0
Prupe.7G241600.1_v2.0.a1,0,0,0,0,0,0
Prupe.4G204200.1_v2.0.a1,3935,5199,4619,5511,3246,2912
Prupe.5G039400.1_v2.0.a1,0,0,0,0,0,0
MSTRG.16143.4,1,0,0,40,0,0
MSTRG.14087.9,104,3,184,62,26,55
Prupe.8G167800.3_v2.0.a1,659,350,755,309,752,492
MSTRG.14087.6,0,87,68,0,94,142
Prupe.8G166300.2_v2.0.a1,0,0,0,0,0,0
Prupe.1G174500.1_v2.0.a1,301,66,494,78,376,50
Prupe.6G033200.2_v2.0.a1,0,0,0,0,0,0
MSTRG.5257.3,18,0,0,0,0,4
MSTRG.16143.1,48,86,112,176,97,147
Prupe.3G161500.1_v2.0.a1,138,2875,263,2765,126,1967
Prupe.6G249800.1_v2.0.a1,1057,1535,993,1547,1079,1278
Prupe.6G137100.2_v2.0.a1,3,0,9,0,2,0
Prupe.2G322100.3_v2.0.a1,13,0,0,0,0,0
Prupe.1G564500.1_v2.0.a1,0,0,0,0,0,0
Prupe.4G126100.1_v2.0.a1,904,2,3,1,3,469
Prupe.4G022700.2_v2.0.a1,0,0,0,0,0,0
Prupe.1G495600.4_v2.0.a1,0,1,0,0,0,0
MSTRG.16143.2,0,153,98,0,0,0
Prupe.1G021000.2_v2.0.a1,115,0,0,234,106,221
Prupe.5G178500.4_v2.0.a1,0,0,0,0,0,0
MSTRG.17188.1,5,3,16,5,8,5
Prupe.4G288400.2_v2.0.a1,0,0,248,248,332,0
Prupe.1G007100.2_v2.0.a1,0,0,0,0,0,0
Prupe.3G118900.1_v2.0.a1,2,2,0,0,0,0
Prupe.2G231600.6_v2.0.a1,0,0,0,0,0,0
Prupe.3G026200.4_v2.0.a1,0,0,0,0,5,0
Prupe.5G218400.1_v2.0.a1,35,39,35,42,26,33
Prupe.3G218500.1_v2.0.a1,99,32,146,55,9,106
MSTRG.10029.3,2,0,2,0,3,5
MSTRG.10353.1,11,26,11,36,23,23
Prupe.5G115700.3_v2.0.a1,0,0,0,0,0,0
Prupe.2G274000.4_v2.0.a1,0,0,0,0,0,0
MSTRG.16811.2,79,67,48,136,0,87
Prupe.1G109900.2_v2.0.a1,0,0,0,0,75,0
Prupe.1G069200.1_v2.0.a1,0,0,1,0,0,0
MSTRG.10586.6,38,30,47,43,51,20
MSTRG.15772.3,100,811,294,219,175,0
MSTRG.10586.4,153,55,253,181,263,98
Prupe.2G059000.1_v2.0.a1,162,99,208,123,142,86
MSTRG.14601.2,0,0,72,0,0,0
Prupe.1G044500.1_v2.0.a1,33,7,41,11,33,3
MSTRG.15772.4,0,545,401,99,780,0
MSTRG.10586.1,63,72,0,101,81,49
Prupe.2G171100.3_v2.0.a1,0,0,0,0,0,0
Prupe.6G088000.2_v2.0.a1,66,25,17,17,41,17
Prupe.6G182300.1_v2.0.a1,0,1,0,0,0,0
Prupe.6G224500.9_v2.0.a1,0,0,0,0,0,0
Prupe.5G100500.1_v2.0.a1,9,0,31,4,10,80
Prupe.1G215400.22_v2.0.a1,0,0,0,0,0,0
MSTRG.17902.2,17,86,48,166,0,0
Prupe.2G297700.1_v2.0.a1,3,0,4,0,5,0
Prupe.1G322600.3_v2.0.a1,42,10,11,14,9,17
MSTRG.4340.1,1019,202,1508,228,1247,193
MSTRG.15038.11,136,0,43,0,80,56
Prupe.8G119200.7_v2.0.a1,3,5,7,0,5,53
Prupe.6G321300.3_v2.0.a1,0,0,8,0,0,0
MSTRG.18521.4,0,151,0,97,64,153
Prupe.5G109600.1_v2.0.a1,642,27,1179,61,810,30
Prupe.4G103800.3_v2.0.a1,0,0,0,0,0,0
Prupe.7G112900.2_v2.0.a1,0,0,0,0,5,0
MSTRG.18521.3,220,0,0,0,0,0
Prupe.3G206800.1_v2.0.a1,87,82,90,64,68,37
Prupe.3G056600.3_v2.0.a1,0,0,0,0,0,0
Prupe.1G330100.1_v2.0.a1,144,0,154,0,208,0
MSTRG.7797.7,39,3,69,44,13,20
Prupe.1G118000.1_v2.0.a1,15,0,26,14,25,8
Prupe.1G567700.1_v2.0.a1,0,7,0,0,0,3
Prupe.1G320100.1_v2.0.a1,130,52,109,62,109,51
Prupe.1G472500.1_v2.0.a1,195,166,133,190,59,120
Prupe.8G184600.1_v2.0.a1,0,18,0,25,0,12
MSTRG.2093.5,85,0,0,0,99,0
Prupe.6G182800.4_v2.0.a1,0,0,0,20,22,0
Prupe.1G073800.5_v2.0.a1,0,0,0,0,0,0
Prupe.7G020900.1_v2.0.a1,67,50,83,55,63,34
Prupe.1G520900.1_v2.0.a1,7,2,11,10,7,7
MSTRG.1351.2,58,40,50,62,31,43
Prupe.4G270300.4_v2.0.a1,0,0,0,0,0,0
Prupe.1G036000.1_v2.0.a1,5,14,4,17,0,12
Prupe.5G245000.3_v2.0.a1,0,0,0,0,0,0
Prupe.6G345400.4_v2.0.a1,16,0,56,0,29,1
Prupe.2G050000.1_v2.0.a1,0,3,0,0,0,0
Prupe.2G231200.9_v2.0.a1,0,0,0,0,0,0
Prupe.6G101300.7_v2.0.a1,0,0,0,0,0,0
Prupe.1G322800.1_v2.0.a1,419,226,433,196,363,182
Prupe.1G470800.1_v2.0.a1,283,58,257,53,181,28
Prupe.2G049600.1_v2.0.a1,4,30,0,56,0,0
MSTRG.17934.1,315,95,643,143,530,376
Prupe.7G271700.3_v2.0.a1,106,227,163,111,250,334
MSTRG.1921.1,33,64,28,90,31,57
Prupe.8G187500.1_v2.0.a1,0,0,0,0,0,0
Prupe.7G135700.1_v2.0.a1,97,32,105,28,37,21
Prupe.1G116600.1_v2.0.a1,0,496,0,549,0,368
Prupe.1G459000.11_v2.0.a1,131,98,0,191,85,16
Prupe.4G176300.1_v2.0.a1,252,129,431,133,271,82
Prupe.8G237800.1_v2.0.a1,15,0,10,0,14,0
Prupe.3G293100.2_v2.0.a1,75,62,129,61,124,39
Prupe.5G060000.1_v2.0.a1,1547,2344,1785,2458,1308,1375
Prupe.8G050000.1_v2.0.a1,32,7,54,11,54,4
MSTRG.523.2,0,0,52,0,0,0
Prupe.4G027100.1_v2.0.a1,46,32,34,13,7,4
Prupe.7G213900.1_v2.0.a1,0,43,0,30,0,8
Prupe.4G288600.4_v2.0.a1,0,0,0,0,0,0
Prupe.5G090000.1_v2.0.a1,449,4,715,12,471,2
Prupe.8G024400.1_v2.0.a1,9,27,14,23,3,24
Prupe.5G001400.1_v2.0.a1,15,13,11,10,5,5
Prupe.1G525300.3_v2.0.a1,0,0,0,0,0,0
MSTRG.13827.3,258,98,229,59,66,95
MSTRG.13827.4,80,107,77,142,118,101
Prupe.3G197400.2_v2.0.a1,0,0,0,0,0,0
MSTRG.13827.6,0,0,0,0,49,0
Prupe.6G244500.1_v2.0.a1,0,2,0,3,0,0
Prupe.6G151900.1_v2.0.a1,255,75,250,68,156,60
Prupe.2G139600.1_v2.0.a1,1,4,1,6,1,3
Prupe.2G032000.2_v2.0.a1,258,388,82,1400,63,474
Prupe.7G026800.3_v2.0.a1,0,0,0,0,0,0
Prupe.1G016000.2_v2.0.a1,654,194,622,173,347,154
Prupe.3G134600.4_v2.0.a1,14,3,6,16,5,26
MSTRG.13047.1,445,580,399,1029,489,557
Prupe.5G201000.1_v2.0.a1,439,28,560,65,448,36
Prupe.1G180900.1_v2.0.a1,15,15,11,12,7,10
Prupe.1G181100.1_v2.0.a1,178,193,230,211,184,149
Prupe.2G002100.1_v2.0.a1,331,83,345,71,261,38
Prupe.7G226000.2_v2.0.a1,0,0,198,0,152,0
Prupe.5G135300.1_v2.0.a1,54,93,50,125,30,98
Prupe.3G217800.3_v2.0.a1,583,299,638,366,423,262
Prupe.4G268900.2_v2.0.a1,0,14,24,0,14,0
Prupe.1G552000.2_v2.0.a1,0,0,0,0,0,0
Prupe.2G231500.2_v2.0.a1,27,0,0,0,0,0
Prupe.3G102600.1_v2.0.a1,0,0,0,0,0,0
Prupe.5G113200.7_v2.0.a1,0,0,549,5,0,0
Prupe.8G114400.1_v2.0.a1,1,2,4,5,9,9
Prupe.7G070800.2_v2.0.a1,0,7,0,0,0,0
Prupe.6G105300.1_v2.0.a1,0,0,0,0,0,0
Prupe.5G246200.9_v2.0.a1,0,0,0,0,0,0
Prupe.2G239000.1_v2.0.a1,55,34,51,48,45,36
Prupe.2G133600.2_v2.0.a1,49,78,51,13,7,62
Prupe.3G242600.1_v2.0.a1,0,87,5,106,3,71
Prupe.1G225400.1_v2.0.a1,0,0,0,0,0,0
Prupe.1G104400.2_v2.0.a1,0,0,0,0,0,0
Prupe.5G210000.1_v2.0.a1,149,241,190,206,146,188
Prupe.1G565700.1_v2.0.a1,0,0,0,0,0,0
MSTRG.4374.9,143,39,16,67,78,0
Prupe.6G095800.1_v2.0.a1,168,10,182,17,96,15
Prupe.7G068700.1_v2.0.a1,466,307,560,260,369,250
Prupe.4G236800.1_v2.0.a1,2,3,3,3,3,1
Prupe.4G186800.1_v2.0.a1,1399,1267,1607,1723,1396,880
Prupe.1G235600.1_v2.0.a1,21,55,27,60,13,33
Prupe.1G265200.1_v2.0.a1,4834,387,5746,810,4664,306
Prupe.5G191700.2_v2.0.a1,0,5,0,0,4,0
Prupe.1G124300.1_v2.0.a1,427,209,551,210,406,125
Prupe.6G260200.1_v2.0.a1,37,6,41,0,32,0
Prupe.1G518500.6_v2.0.a1,0,0,0,1,4,0
Prupe.7G027100.5_v2.0.a1,0,0,0,0,57,17
Prupe.7G058100.5_v2.0.a1,0,0,0,0,0,0
Prupe.1G576000.1_v2.0.a1,247,97,254,109,186,95
Prupe.5G169900.1_v2.0.a1,50,96,38,61,16,0
Prupe.4G207800.1_v2.0.a1,0,6,0,0,0,32
Prupe.2G052200.1_v2.0.a1,72,42,90,30,74,22
Prupe.7G246700.1_v2.0.a1,649,520,497,440,600,271
Prupe.7G166200.1_v2.0.a1,1079,1693,1187,1689,887,920
Prupe.1G405600.1_v2.0.a1,0,0,0,0,0,0
MSTRG.5102.1,25,16,134,61,21,8
Prupe.1G175400.1_v2.0.a1,0,0,0,0,0,4
Prupe.6G333600.5_v2.0.a1,0,0,0,0,0,0
Prupe.3G005200.3_v2.0.a1,336,99,508,492,111,118
Prupe.4G052800.2_v2.0.a1,0,0,0,0,0,0
Prupe.4G129400.1_v2.0.a1,130,75,148,78,108,46
MSTRG.4754.2,575,79,675,45,267,113
Prupe.5G179500.1_v2.0.a1,31,15,36,14,20,12
Prupe.6G042600.3_v2.0.a1,0,0,0,0,0,0
MSTRG.9586.6,92,53,178,24,0,0
Prupe.7G070500.3_v2.0.a1,19,48,0,22,26,13
Prupe.3G313400.1_v2.0.a1,226,613,1103,597,20,439
Prupe.2G263100.1_v2.0.a1,0,0,0,1,0,0
Prupe.6G127900.1_v2.0.a1,2,5,2,4,2,3
Prupe.8G031800.1_v2.0.a1,0,0,0,0,0,0
Prupe.2G261000.1_v2.0.a1,0,12,5,14,0,21
Prupe.7G264300.16_v2.0.a1,0,0,0,0,1,0
Prupe.2G315200.4_v2.0.a1,0,0,0,0,0,0
Prupe.7G270000.3_v2.0.a1,2,3,4,1,0,0
Prupe.1G095300.16_v2.0.a1,0,0,0,0,0,0
MSTRG.9218.2,134,231,421,207,120,910
Prupe.1G465900.1_v2.0.a1,3,2,0,2,0,0
Prupe.2G262200.5_v2.0.a1,10,2,5,4,1,0
Prupe.2G021600.1_v2.0.a1,0,0,0,0,0,0
Prupe.6G101300.30_v2.0.a1,24,0,0,0,0,0
Prupe.4G149200.1_v2.0.a1,45,40,40,24,51,64
MSTRG.11486.2,0,0,0,0,41,0
Prupe.1G355600.1_v2.0.a1,693,1547,888,1780,703,1643
Prupe.1G255500.1_v2.0.a1,0,0,0,0,36,0
MSTRG.10585.2,96,43,83,52,44,47
Prupe.3G028800.1_v2.0.a1,0,0,0,0,0,0
Prupe.8G021600.3_v2.0.a1,40,41,76,30,96,0
Prupe.3G176200.1_v2.0.a1,0,7,0,0,2,6
Prupe.1G108700.1_v2.0.a1,0,0,0,0,1,0
MSTRG.409.2,115,0,17,0,74,0
MSTRG.6585.3,0,7,9,4,0,6
MSTRG.6585.2,0,48,38,0,32,11
Prupe.1G096900.1_v2.0.a1,0,7,0,7,0,5
Prupe.3G045600.1_v2.0.a1,0,0,0,0,0,0
Prupe.1G081100.1_v2.0.a1,0,0,0,0,0,0
Prupe.7G037300.2_v2.0.a1,7,9,9,6,0,3
Prupe.3G051000.3_v2.0.a1,0,0,0,0,0,0
Prupe.1G353600.1_v2.0.a1,498,244,630,316,379,204
Prupe.6G277900.1_v2.0.a1,618,515,776,492,497,333
Prupe.4G191700.1_v2.0.a1,4,5,7,3,2,9
Prupe.7G079900.1_v2.0.a1,61,192,65,277,47,160
MSTRG.20649.5,19,17,67,0,23,4
MSTRG.20649.6,9,3,44,6,0,3
Prupe.1G473200.1_v2.0.a1,172,116,80,117,0,19
Prupe.1G200000.18_v2.0.a1,0,0,0,0,0,0
Prupe.2G101700.2_v2.0.a1,0,0,2,3,4,0
Prupe.5G042000.1_v2.0.a1,0,0,0,0,0,0
Prupe.1G335900.1_v2.0.a1,45,55,56,57,37,1
Prupe.3G172300.1_v2.0.a1,538,166,700,131,355,131
Prupe.3G244800.1_v2.0.a1,504,319,661,247,368,233
Prupe.4G221300.1_v2.0.a1,0,0,1,1,0,1
Prupe.3G178000.2_v2.0.a1,4,0,0,3,0,0
Prupe.4G119200.3_v2.0.a1,2,10,9,6,12,0
Prupe.1G133500.1_v2.0.a1,73,150,73,141,47,101
Prupe.1G105500.1_v2.0.a1,28,16,36,23,29,14
Prupe.1G542800.2_v2.0.a1,0,0,0,0,0,0
Prupe.6G314600.1_v2.0.a1,491,48,732,88,482,34
Prupe.5G219800.1_v2.0.a1,0,0,7,1,7,0
MSTRG.8246.7,0,439,587,621,0,5
Prupe.4G110000.1_v2.0.a1,1106,559,1074,426,757,250
Prupe.3G084300.1_v2.0.a1,582,578,693,599,412,391
MSTRG.8246.1,303,77,355,82,430,156
Prupe.8G074400.1_v2.0.a1,29,28,17,21,18,14
Prupe.7G027000.2_v2.0.a1,0,0,0,0,0,0
Prupe.1G207900.1_v2.0.a1,6,5,6,2,2,2
Prupe.8G129100.1_v2.0.a1,0,0,248,0,135,0
Prupe.8G116200.1_v2.0.a1,538,582,291,498,211,442
Prupe.3G187500.2_v2.0.a1,0,0,0,0,0,0
Prupe.1G385500.1_v2.0.a1,119,129,232,223,228,80
Prupe.8G249500.1_v2.0.a1,90,173,75,119,57,108
Prupe.5G121200.1_v2.0.a1,1642,541,2487,528,2538,314
Prupe.5G228300.1_v2.0.a1,0,0,0,0,0,0
MSTRG.15180.3,674,382,883,341,503,300
Prupe.6G236300.1_v2.0.a1,3160,2314,4046,2428,2573,1460
Prupe.8G013000.4_v2.0.a1,4,5,0,0,3,0
Prupe.1G579200.6_v2.0.a1,2,26,17,0,0,0
Prupe.2G012000.1_v2.0.a1,174,506,129,559,107,582
MSTRG.7987.1,0,42,0,29,0,45
MSTRG.19436.5,187,115,103,189,98,81
Prupe.6G365400.1_v2.0.a1,693,370,689,268,536,292
Prupe.5G123900.1_v2.0.a1,3,3,1,4,1,2
Prupe.4G051000.12_v2.0.a1,0,0,0,0,0,0
Prupe.2G311000.1_v2.0.a1,615,355,740,395,573,327
MSTRG.9422.1,16,12,80,211,43,24
Prupe.1G098500.1_v2.0.a1,0,0,0,0,0,0
MSTRG.11283.3,5,492,0,6,3,30
Prupe.4G288800.5_v2.0.a1,0,0,0,0,0,0
Prupe.6G115700.4_v2.0.a1,36,0,44,0,26,0
Prupe.8G081200.1_v2.0.a1,0,1,0,1,0,3
Prupe.8G095900.6_v2.0.a1,0,0,1,0,0,0
Prupe.8G251700.1_v2.0.a1,0,102,59,90,41,32
Prupe.3G131800.5_v2.0.a1,0,0,0,0,0,0
Prupe.1G275500.1_v2.0.a1,0,0,0,0,0,0
Prupe.6G008500.1_v2.0.a1,2,6,3,5,3,0
Prupe.3G268300.1_v2.0.a1,18,78,64,46,9,48
Prupe.1G258700.3_v2.0.a1,0,0,0,0,0,0
Prupe.8G201100.1_v2.0.a1,125,181,147,204,128,145
Prupe.1G472900.1_v2.0.a1,5498,2162,5057,3369,4114,1717
Prupe.6G301500.2_v2.0.a1,0,0,0,0,0,0
Prupe.7G109900.2_v2.0.a1,48,0,29,0,34,0
Prupe.7G004300.1_v2.0.a1,174,172,184,195,140,138
Prupe.8G025100.1_v2.0.a1,0,0,0,0,0,0
Prupe.3G030600.3_v2.0.a1,0,0,0,0,0,0
Prupe.6G012400.1_v2.0.a1,0,0,0,0,0,65
Prupe.4G085400.1_v2.0.a1,287,200,311,196,224,233
MSTRG.19363.1,48,163,287,163,112,130
Prupe.1G557000.1_v2.0.a1,0,0,0,0,0,0
Prupe.1G511100.2_v2.0.a1,0,0,0,0,0,0
Prupe.2G025400.1_v2.0.a1,58,47,84,66,58,43
Prupe.1G297200.11_v2.0.a1,0,74,29,0,0,0
MSTRG.17756.3,0,15,0,83,0,0
Prupe.3G084800.3_v2.0.a1,1384,0,580,697,75,284
Prupe.5G180300.1_v2.0.a1,1972,2708,1846,3025,1640,163
Prupe.2G278100.2_v2.0.a1,0,0,0,0,0,0
Prupe.6G083200.1_v2.0.a1,0,0,0,0,0,0
Prupe.7G175900.1_v2.0.a1,2,1,2,0,3,1
Prupe.4G272300.3_v2.0.a1,21,35,42,23,47,36
Prupe.7G241200.2_v2.0.a1,0,0,0,0,0,0
Prupe.3G121700.7_v2.0.a1,0,0,0,0,0,0
Prupe.2G196200.4_v2.0.a1,0,0,0,0,0,0
Prupe.1G554600.1_v2.0.a1,161,3,180,3,211,7
MSTRG.15001.3,0,0,45,0,0,0
Prupe.1G558400.2_v2.0.a1,0,0,0,0,0,0
Prupe.3G041300.1_v2.0.a1,1,1,1,0,0,0
Prupe.2G049100.1_v2.0.a1,0,2,0,0,0,0
Prupe.7G042200.2_v2.0.a1,514,161,645,311,591,0
Prupe.2G102400.1_v2.0.a1,1,5,1,5,1,4
Prupe.3G292500.1_v2.0.a1,0,8,4,9,3,10
MSTRG.3494.3,0,0,2,6,1,0
MSTRG.4594.3,28,23,24,36,11,109
Prupe.5G060900.1_v2.0.a1,2,2,0,0,0,0
Prupe.2G135200.1_v2.0.a1,31,148,29,268,14,168
Prupe.3G143700.4_v2.0.a1,9,8,1,0,4,3
Prupe.3G196400.3_v2.0.a1,0,2,0,0,0,0
Prupe.4G160200.5_v2.0.a1,369,69,210,67,176,89
Prupe.6G101000.1_v2.0.a1,0,31,2,0,0,0
Prupe.8G205600.1_v2.0.a1,30,22,21,17,15,11
MSTRG.3513.4,0,0,0,70,0,0
Prupe.4G085100.10_v2.0.a1,0,0,75,0,0,0
Prupe.5G230600.3_v2.0.a1,0,0,132,0,65,0
MSTRG.3513.3,17,120,11,171,0,237
Prupe.2G077000.1_v2.0.a1,477,677,366,639,316,490
Prupe.4G271800.1_v2.0.a1,403,33,629,83,418,42
Prupe.3G037600.1_v2.0.a1,0,0,0,0,0,0
MSTRG.14115.1,0,0,22,30,36,18
Prupe.2G305200.1_v2.0.a1,2427,702,3211,1719,2841,620
Prupe.1G076600.2_v2.0.a1,4,1,0,0,0,0
Prupe.1G030900.1_v2.0.a1,1626,1767,1761,1860,1211,1359
Prupe.8G183500.6_v2.0.a1,210,2,156,0,55,178
Prupe.4G215900.5_v2.0.a1,0,0,0,0,0,0
Prupe.2G139100.1_v2.0.a1,14,6,13,8,11,5
Prupe.1G067100.1_v2.0.a1,0,0,0,0,0,0
Prupe.6G354200.1_v2.0.a1,576,417,743,292,443,220
Prupe.1G092600.1_v2.0.a1,0,1,1,1,0,1
Prupe.4G285600.3_v2.0.a1,0,0,0,0,0,0
Prupe.7G109100.1_v2.0.a1,8,35,12,26,5,14
Prupe.3G299600.2_v2.0.a1,383,333,390,227,315,291
Prupe.8G134200.1_v2.0.a1,109,220,118,198,70,98
Prupe.4G179400.2_v2.0.a1,0,0,0,0,0,0
Prupe.7G125300.2_v2.0.a1,521,203,596,168,394,55
Prupe.3G237200.1_v2.0.a1,0,0,0,0,0,0
Prupe.1G420700.1_v2.0.a1,41,204,35,151,34,160
Prupe.5G024800.4_v2.0.a1,0,0,0,0,0,0
MSTRG.20446.2,432,0,307,0,254,0
Prupe.5G054200.1_v2.0.a1,0,0,0,0,0,0
MSTRG.20497.2,65,106,168,97,92,55
Prupe.7G249700.1_v2.0.a1,72,311,67,241,0,314
MSTRG.11538.8,6,3,10,9,9,24
MSTRG.11538.9,6,3,1,4,6,15
Prupe.8G060600.1_v2.0.a1,1,1,2,1,1,0
MSTRG.11538.7,514,320,634,269,428,359
Prupe.2G299700.1_v2.0.a1,0,0,0,0,0,0
Prupe.2G107000.1_v2.0.a1,762,315,905,352,724,264
Prupe.2G088200.1_v2.0.a1,10,4,17,9,14,3
Prupe.1G286500.1_v2.0.a1,831,406,1040,440,704,372
MSTRG.2700.4,9,53,28,96,26,14
MSTRG.2700.2,37,54,50,59,53,26
Prupe.1G009600.1_v2.0.a1,0,11,15,15,14,12
Prupe.6G182900.1_v2.0.a1,0,6,0,0,0,5
Prupe.4G269000.1_v2.0.a1,5,0,4,2,3,3
Prupe.5G132400.1_v2.0.a1,580,787,729,492,696,428
Prupe.3G019800.1_v2.0.a1,44,12,15,34,30,25
Prupe.7G022800.1_v2.0.a1,1597,1466,1966,1435,1245,786
Prupe.1G501000.2_v2.0.a1,1,4,3,3,6,0
Prupe.8G269300.2_v2.0.a1,0,0,0,0,0,0
Prupe.6G085100.1_v2.0.a1,150,131,141,121,99,56
Prupe.1G502700.1_v2.0.a1,0,454,0,393,0,291
Prupe.4G285900.1_v2.0.a1,1078,733,1638,987,1277,560
MSTRG.9735.1,33,0,29,38,31,137
MSTRG.14181.1,46,59,81,70,51,64
Prupe.6G051000.3_v2.0.a1,0,0,0,1,0,0
MSTRG.20228.3,0,121,38,126,0,0
Prupe.4G077600.3_v2.0.a1,0,9,0,0,0,0
Prupe.2G228300.1_v2.0.a1,0,0,0,0,0,0
Prupe.6G314800.1_v2.0.a1,0,0,0,3,0,0
Prupe.1G409700.3_v2.0.a1,0,0,0,0,0,0
MSTRG.4313.1,39,288,195,135,265,500
Prupe.2G223800.1_v2.0.a1,15,25,10,22,9,21
Prupe.7G097500.6_v2.0.a1,0,2,2,3,0,0
Prupe.2G104100.2_v2.0.a1,0,0,0,0,0,0
MSTRG.4891.2,185,192,0,0,0,0
Prupe.1G254700.4_v2.0.a1,0,0,0,237,0,0
Prupe.1G364500.1_v2.0.a1,0,0,630,0,0,3
MSTRG.9141.3,0,114,424,0,316,71
Prupe.6G097700.3_v2.0.a1,43,0,0,130,0,92
Prupe.7G120300.4_v2.0.a1,0,0,0,0,0,0
Prupe.1G231700.6_v2.0.a1,0,0,112,184,0,0
Prupe.3G168500.7_v2.0.a1,0,0,0,0,0,7
Prupe.2G266400.4_v2.0.a1,0,0,0,0,0,0
Prupe.8G187200.1_v2.0.a1,57,41,28,4,17,32
Prupe.5G034700.1_v2.0.a1,167,113,78,103,68,147
Prupe.7G233500.4_v2.0.a1,0,0,0,0,0,0
Prupe.6G082700.2_v2.0.a1,0,0,0,0,0,0
Prupe.8G162700.3_v2.0.a1,0,0,0,0,0,0
Prupe.4G238400.1_v2.0.a1,0,0,0,0,0,0
Prupe.3G271500.2_v2.0.a1,12,61,36,23,55,0
Prupe.2G182800.6_v2.0.a1,0,0,0,0,0,0
MSTRG.7631.4,0,4,39,0,0,0
Prupe.7G264400.2_v2.0.a1,0,0,0,0,0,0
MSTRG.14528.4,0,0,0,106,0,0
Prupe.7G195800.1_v2.0.a1,180,106,229,121,117,74
Prupe.2G286700.1_v2.0.a1,26,39,21,48,17,32
Prupe.8G258600.1_v2.0.a1,8,49,65,25,16,22
Prupe.1G234400.1_v2.0.a1,960,263,1833,163,1738,131
Prupe.5G045300.1_v2.0.a1,87,52,85,43,58,30
Prupe.7G244600.1_v2.0.a1,0,2,0,1,0,1
Prupe.5G147900.1_v2.0.a1,0,0,0,0,0,0
Prupe.8G149700.1_v2.0.a1,227,101,292,102,191,60
Prupe.1G513600.1_v2.0.a1,6945,1182,9424,1810,7006,1171
Prupe.5G074500.1_v2.0.a1,0,0,0,0,0,0
Prupe.5G136800.4_v2.0.a1,0,0,0,0,0,0
Prupe.6G019000.2_v2.0.a1,0,3,0,3,0,0
Prupe.4G243100.1_v2.0.a1,44,213,26,177,25,257
Prupe.1G539400.4_v2.0.a1,0,0,0,0,0,0
Prupe.1G148600.1_v2.0.a1,19,65,11,58,9,34
MSTRG.13376.2,575,0,0,0,0,0
Prupe.1G144500.1_v2.0.a1,0,0,0,0,0,0
Prupe.1G538100.1_v2.0.a1,0,4422,0,4220,0,4456
MSTRG.15278.1,293,32,142,0,107,156
Prupe.5G217100.1_v2.0.a1,0,0,0,0,0,0
Prupe.2G084600.2_v2.0.a1,0,0,0,0,0,0
Prupe.1G411800.1_v2.0.a1,262,187,242,172,186,117
Prupe.7G221100.1_v2.0.a1,48,746,33,847,22,2
Prupe.6G347100.2_v2.0.a1,0,0,0,0,0,0
Prupe.3G094200.1_v2.0.a1,0,0,0,0,0,0
Prupe.6G129000.6_v2.0.a1,0,0,0,0,0,0
MSTRG.15538.2,0,43,0,30,0,0
Prupe.2G091100.1_v2.0.a1,363,221,407,238,320,132
Prupe.5G124400.2_v2.0.a1,55,42,58,26,38,41
Prupe.1G012100.1_v2.0.a1,45,17,63,18,52,7
MSTRG.15278.4,2,1,1,3,1,2
Prupe.7G207400.2_v2.0.a1,0,0,0,0,0,0
Prupe.2G105400.1_v2.0.a1,131,10,213,13,210,8
Prupe.4G074600.1_v2.0.a1,1456,941,1182,597,1134,966
MSTRG.6665.2,0,0,0,58,0,0
Prupe.1G081800.1_v2.0.a1,0,0,0,0,0,0
MSTRG.6665.4,0,0,0,10,0,0
Prupe.2G105700.2_v2.0.a1,15,16,30,16,7,8
Prupe.5G170300.4_v2.0.a1,0,0,0,0,69,3
Prupe.3G285300.2_v2.0.a1,0,0,0,0,0,0
Prupe.4G233000.3_v2.0.a1,56,27,125,103,38,0
Prupe.1G070300.2_v2.0.a1,0,0,0,0,0,0
Prupe.1G142700.8_v2.0.a1,0,0,0,0,0,0
Prupe.4G229800.2_v2.0.a1,0,0,0,0,0,0
Prupe.2G130300.1_v2.0.a1,11,1,18,2,15,2
MSTRG.7796.4,20,0,0,0,0,0
Prupe.2G082600.1_v2.0.a1,0,0,0,0,0,0
Prupe.2G330100.1_v2.0.a1,132,154,109,158,79,86
Prupe.8G112000.1_v2.0.a1,38,8,22,7,23,7
MSTRG.7796.2,8,7,6,68,4,3
MSTRG.7796.3,11,7,2,0,32,0
Prupe.1G502900.9_v2.0.a1,8,20,0,89,3,2
Prupe.4G165800.1_v2.0.a1,5,0,6,18,0,15
Prupe.6G313600.1_v2.0.a1,140,41,0,34,0,0
