Prupe.I003300.1.p	Pav_sc0006468.1_g010.1.br
Prupe.8G002900.1.p	Pav_sc0000500.1_g180.1.mk
Prupe.8G043200.1.p	Pav_sc0001171.1_g220.1.mk
Prupe.8G259900.1.p	Pav_sc0000848.1_g1010.1.mk
Prupe.8G268600.1.p	Pav_sc0000130.1_g480.1.mk
Prupe.8G163600.1.p	Pav_sc0000373.1_g270.1.mk
Prupe.8G218200.1.p	Pav_sc0002304.1_g070.1.br
Prupe.8G022200.1.p	Pav_sc0001556.1_g080.1.mk
Prupe.8G258600.1.p	Pav_sc0000848.1_g910.1.mk
Prupe.8G156000.1.p	Pav_sc0000568.1_g580.1.mk
Prupe.8G258800.1.p	Pav_sc0000848.1_g930.1.mk
Prupe.8G138900.1.p	Pav_sc0001422.1_g270.1.mk
Prupe.8G109600.1.p	Pav_sc0011681.1_g010.1.mk
Prupe.8G166700.1.p	Pav_sc0000373.1_g590.1.mk
Prupe.8G042200.1.p	Pav_sc0000404.1_g090.1.mk
Prupe.8G151200.1.p	Pav_sc0000720.1_g080.1.mk
Prupe.8G265700.1.p	Pav_sc0000130.1_g700.1.mk
Prupe.8G089000.1.p	Pav_sc0001518.1_g430.1.br
Prupe.8G161300.1.p	Pav_sc0000845.1_g100.1.mk
Prupe.8G125700.1.p	Pav_sc0002234.1_g020.1.mk
Prupe.8G224800.1.p	Pav_sc0000583.1_g490.1.mk
Prupe.8G205700.1.p	Pav_sc0001963.1_g110.1.br
Prupe.8G202000.1.p	Pav_sc0001963.1_g520.1.mk
Prupe.8G012000.1.p	Pav_sc0000379.1_g170.1.mk
Prupe.8G094400.1.p	Pav_sc0000010.1_g090.1.mk
Prupe.8G117100.1.p	Pav_sc0002962.1_g140.1.mk
Prupe.8G079000.1.p	Pav_sc0006480.1_g050.1.br
Prupe.8G105800.1.p	Pav_sc0000544.1_g340.1.mk
Prupe.8G016900.1.p	Pav_sc0004043.1_g100.1.mk
Prupe.8G088400.1.p	Pav_sc0001518.1_g620.1.mk
Prupe.8G250500.1.p	Pav_sc0000848.1_g120.1.mk
Prupe.8G069500.1.p	Pav_sc0003614.1_g110.1.mk
Prupe.8G053800.1.p	Pav_sc0002271.1_g330.1.mk
Prupe.8G039200.1.p	Pav_sc0000697.1_g100.1.mk
Prupe.8G189100.3.p	Pav_sc0000648.1_g270.1.mk
Prupe.8G096600.1.p	Pav_sc0000093.1_g510.1.mk
Prupe.8G044900.1.p	Pav_sc0002690.1_g050.1.mk
Prupe.8G138000.1.p	Pav_sc0001422.1_g130.1.mk
Prupe.8G135400.1.p	Pav_sc0000625.1_g140.1.mk
Prupe.8G098200.1.p	Pav_sc0000093.1_g280.1.mk
Prupe.8G250900.4.p	Pav_sc0000848.1_g160.1.mk
Prupe.8G182500.1.p	Pav_sc0000357.1_g110.1.mk
Prupe.8G100400.1.p	Pav_sc0000093.1_g090.1.mk
Prupe.8G140900.1.p	Pav_sc0002475.1_g020.1.mk
Prupe.8G075600.1.p	Pav_sc0001902.1_g110.1.mk
Prupe.8G068200.1.p	Pav_sc0001700.1_g040.1.mk
Prupe.8G195800.2.p	Pav_sc0000558.1_g430.1.mk
Prupe.8G240400.1.p	Pav_sc0000146.1_g540.1.mk
Prupe.8G079100.1.p	Pav_sc0008108.1_g030.1.br
Prupe.8G082700.1.p	Pav_sc0000175.1_g030.1.mk
Prupe.8G108300.1.p	Pav_sc0002960.1_g100.1.mk
Prupe.8G010500.3.p	Pav_sc0001601.1_g050.1.mk
Prupe.8G017500.1.p	Pav_sc0000144.1_g350.1.mk
Prupe.8G117900.1.p	Pav_sc0002383.1_g070.1.mk
Prupe.8G224300.1.p	Pav_sc0000583.1_g540.1.mk
Prupe.8G230800.1.p	Pav_sc0000983.1_g160.1.mk
Prupe.8G028700.1.p	Pav_sc0001025.1_g130.1.mk
Prupe.8G063500.1.p	Pav_sc0000399.1_g130.1.mk
Prupe.8G192300.1.p	Pav_sc0000558.1_g070.1.mk
Prupe.8G079400.1.p	Pav_sc0005224.1_g030.1.br
Prupe.8G164400.2.p	Pav_sc0000373.1_g340.1.mk
Prupe.8G178400.1.p	Pav_sc0000412.1_g610.1.mk
Prupe.8G121200.1.p	Pav_sc0001413.1_g320.1.br
Prupe.8G105600.1.p	Pav_sc0000544.1_g440.1.br
Prupe.8G156600.1.p	Pav_sc0000568.1_g420.1.mk
Prupe.8G069900.4.p	Pav_sc0003614.1_g080.1.mk
Prupe.8G115200.1.p	Pav_sc0000908.1_g290.1.mk
Prupe.8G135000.2.p	Pav_sc0000625.1_g110.1.mk
Prupe.8G151100.2.p	Pav_sc0001090.1_g090.1.mk
Prupe.8G097500.1.p	Pav_sc0000093.1_g380.1.mk
Prupe.8G189300.1.p	Pav_sc0000648.1_g250.1.mk
Prupe.8G162800.1.p	Pav_sc0000373.1_g190.1.mk
Prupe.8G161000.1.p	Pav_sc0000845.1_g130.1.mk
Prupe.8G167200.1.p	Pav_sc0000373.1_g640.1.mk
Prupe.8G131100.1.p	Pav_sc0001126.1_g080.1.mk
Prupe.8G159000.1.p	Pav_sc0000568.1_g110.1.mk
Prupe.8G072000.3.p	Pav_sc0000663.1_g110.1.mk
Prupe.8G015400.1.p	Pav_sc0000183.1_g580.1.br
Prupe.8G135700.1.p	Pav_sc0000625.1_g170.1.mk
Prupe.8G256400.7.p	Pav_sc0000848.1_g700.1.mk
Prupe.8G163200.3.p	Pav_sc0000373.1_g230.1.mk
Prupe.8G010200.1.p	Pav_sc0004383.1_g180.1.br
Prupe.8G047000.1.p	Pav_sc0000788.1_g070.1.br
Prupe.8G263200.1.p	Pav_sc0000130.1_g930.1.mk
Prupe.8G248300.1.p	Pav_sc0003065.1_g070.1.mk
Prupe.8G030200.1.p	Pav_sc0001025.1_g440.1.mk
Prupe.8G144200.1.p	Pav_sc0001009.1_g150.1.mk
Prupe.8G022000.1.p	Pav_sc0001556.1_g060.1.mk
Prupe.8G090600.1.p	Pav_sc0001518.1_g210.1.mk
Prupe.8G155800.3.p	Pav_sc0000568.1_g600.1.mk
Prupe.8G246100.1.p	Pav_sc0003072.1_g090.1.mk
Prupe.8G254800.1.p	Pav_sc0000848.1_g530.1.mk
Prupe.8G027900.1.p	Pav_sc0001255.1_g030.1.mk
Prupe.6G361100.1.p	Pav_sc0000744.1_g400.1.mk
Prupe.6G289300.1.p	Pav_sc0001502.1_g200.1.mk
Prupe.6G007000.2.p	Pav_sc0000909.1_g630.1.mk
Prupe.6G275400.4.p	Pav_sc0001925.1_g450.1.mk
Prupe.6G323500.1.p	Pav_sc0006080.1_g040.1.mk
Prupe.6G118000.1.p	Pav_sc0000467.1_g120.1.mk
Prupe.6G032500.1.p	Pav_sc0001392.1_g550.1.mk
Prupe.6G277200.1.p	Pav_sc0001925.1_g250.1.mk
Prupe.6G250200.3.p	Pav_sc0000780.1_g140.1.mk
Prupe.6G103900.1.p	Pav_sc0000480.1_g080.1.mk
Prupe.6G073900.1.p	Pav_sc0001812.1_g060.1.mk
Prupe.6G272200.1.p	Pav_sc0000580.1_g210.1.mk
Prupe.6G064900.1.p	Pav_sc0000062.1_g160.1.mk
Prupe.6G026700.2.p	Pav_sc0000719.1_g610.1.mk
Prupe.6G244300.5.p	Pav_sc0001339.1_g090.1.mk
Prupe.6G319200.1.p	Pav_sc0004475.1_g130.1.mk
Prupe.6G222300.1.p	Pav_sc0005215.1_g030.1.mk
Prupe.6G089500.1.p	Pav_sc0000323.1_g220.1.mk
Prupe.6G031300.1.p	Pav_sc0000416.1_g120.1.br
Prupe.6G132600.1.p	Pav_sc0001671.1_g120.1.mk
Prupe.6G163700.1.p	Pav_sc0003093.1_g040.1.mk
Prupe.6G365400.3.p	Pav_sc0001472.1_g030.1.mk
Prupe.6G277900.1.p	Pav_sc0001925.1_g180.1.mk
Prupe.6G287900.1.p	Pav_sc0001502.1_g110.1.mk
Prupe.6G286100.1.p	Pav_sc0001341.1_g550.1.mk
Prupe.6G263800.3.p	Pav_sc0001794.1_g380.1.mk
Prupe.6G177500.1.p	Pav_sc0002914.1_g120.1.mk
Prupe.6G171500.1.p	Pav_sc0002918.1_g110.1.mk
Prupe.6G074300.1.p	Pav_sc0001812.1_g090.1.mk
Prupe.6G167900.1.p	Pav_sc0000507.1_g010.1.br
Prupe.6G268000.2.p	Pav_sc0003434.1_g090.1.mk
Prupe.6G015400.1.p	Pav_sc0002024.1_g150.1.mk
Prupe.6G313600.1.p	Pav_sc0000907.1_g430.1.mk
Prupe.6G213400.2.p	Pav_sc0007292.1_g030.1.mk
Prupe.6G162200.3.p	Pav_sc0007209.1_g110.1.mk
Prupe.6G364700.2.p	Pav_sc0001774.1_g080.1.mk
Prupe.6G281700.1.p	Pav_sc0000864.1_g010.1.mk
Prupe.6G045500.1.p	Pav_co4068797.1_g010.1.mk
Prupe.6G137500.1.p	Pav_sc0007929.1_g010.1.mk
Prupe.6G161500.1.p	Pav_co4004761.1_g010.1.mk
Prupe.6G091600.3.p	Pav_sc0000323.1_g480.1.mk
Prupe.6G239200.1.p	Pav_sc0000203.1_g120.1.mk
Prupe.6G238600.1.p	Pav_sc0000203.1_g220.1.mk
Prupe.6G221700.1.p	Pav_sc0005024.1_g030.1.mk
Prupe.6G037400.3.p	Pav_sc0000206.1_g160.1.mk
Prupe.6G172000.2.p	Pav_sc0001527.1_g010.1.mk
Prupe.6G056100.1.p	Pav_sc0000638.1_g530.1.mk
Prupe.6G294000.1.p	Pav_sc0002318.1_g100.1.mk
Prupe.6G220800.1.p	Pav_sc0000666.1_g050.1.mk
Prupe.6G032400.1.p	Pav_sc0001392.1_g560.1.mk
Prupe.6G012400.3.p	Pav_sc0000909.1_g320.1.mk
Prupe.6G037200.1.p	Pav_sc0000206.1_g140.1.mk
Prupe.6G323400.1.p	Pav_sc0006080.1_g050.1.mk
Prupe.6G180000.1.p	Pav_sc0003286.1_g010.1.mk
Prupe.6G140700.1.p	Pav_sc0002115.1_g040.1.br
Prupe.6G099600.5.p	Pav_sc0000094.1_g330.1.mk
Prupe.6G203300.1.p	Pav_sc0002061.1_g060.1.mk
Prupe.6G299600.2.p	Pav_sc0001699.1_g620.1.mk
Prupe.6G360300.2.p	Pav_sc0000744.1_g330.1.mk
Prupe.6G046200.1.p	Pav_sc0000375.1_g430.1.mk
Prupe.6G278700.1.p	Pav_sc0001925.1_g090.1.mk
Prupe.6G309100.1.p	Pav_sc0001236.1_g350.1.mk
Prupe.6G025300.2.p	Pav_sc0000719.1_g430.1.mk
Prupe.6G320000.1.p	Pav_sc0000671.1_g050.1.mk
Prupe.6G239700.1.p	Pav_sc0000203.1_g080.1.mk
Prupe.6G339400.1.p	Pav_sc0000700.1_g1570.1.mk
Prupe.6G247000.5.p	Pav_sc0002197.1_g020.1.mk
Prupe.6G139500.1.p	Pav_sc0000271.1_g250.1.mk
Prupe.6G214900.1.p	Pav_sc0006048.1_g060.1.mk
Prupe.6G144800.1.p	Pav_sc0000759.1_g220.1.br
Prupe.6G289800.1.p	Pav_sc0001502.1_g410.1.mk
Prupe.6G198500.1.p	Pav_sc0001817.1_g050.1.mk
Prupe.6G056700.2.p	Pav_sc0000638.1_g470.1.br
Prupe.6G093500.1.p	Pav_sc0000323.1_g1070.1.mk
Prupe.6G337900.1.p	Pav_sc0000700.1_g1440.1.mk
Prupe.6G355800.1.p	Pav_sc0004456.1_g170.1.mk
Prupe.6G118100.1.p	Pav_sc0000206.1_g010.1.br
Prupe.6G161000.1.p	Pav_sc0002004.1_g100.1.mk
Prupe.6G329100.1.p	Pav_sc0000700.1_g550.1.mk
Prupe.6G119500.1.p	Pav_sc0001189.1_g090.1.mk
Prupe.6G337700.1.p	Pav_sc0000700.1_g1420.1.mk
Prupe.6G072500.1.p	Pav_sc0000563.1_g280.1.mk
Prupe.6G300600.1.p	Pav_sc0001699.1_g520.1.mk
Prupe.6G214000.1.p	Pav_sc0005773.1_g010.1.mk
Prupe.6G214300.1.p	Pav_sc0000167.1_g060.1.mk
Prupe.6G243100.1.p	Pav_sc0003845.1_g030.1.mk
Prupe.6G335700.1.p	Pav_sc0001251.1_g120.1.mk
Prupe.6G272000.1.p	Pav_sc0000580.1_g190.1.mk
Prupe.6G135000.1.p	Pav_sc0000159.1_g070.1.mk
Prupe.6G159100.3.p	Pav_sc0001621.1_g010.1.mk
Prupe.6G128400.2.p	Pav_sc0000977.1_g050.1.mk
Prupe.6G239400.1.p	Pav_sc0000203.1_g110.1.mk
Prupe.6G206600.1.p	Pav_sc0002348.1_g060.1.br
Prupe.6G181600.1.p	Pav_sc0006393.1_g030.1.br
Prupe.6G219200.1.p	Pav_sc0000142.1_g060.1.mk
Prupe.6G077200.1.p	Pav_sc0000087.1_g360.1.mk
Prupe.6G188100.1.p	Pav_sc0007311.1_g010.1.mk
Prupe.6G280500.1.p	Pav_sc0001503.1_g130.1.mk
Prupe.6G066400.1.p	Pav_sc0001663.1_g310.1.br
Prupe.6G187400.2.p	Pav_sc0002443.1_g050.1.mk
Prupe.6G166000.1.p	Pav_sc0000002.1_g280.1.mk
Prupe.6G065700.1.p	Pav_sc0001663.1_g400.1.mk
Prupe.6G284100.1.p	Pav_sc0001341.1_g260.1.mk
Prupe.6G171600.3.p	Pav_sc0002918.1_g100.1.mk
Prupe.6G318800.5.p	Pav_sc0004475.1_g030.1.mk
Prupe.6G338600.1.p	Pav_sc0000700.1_g1500.1.mk
Prupe.6G124500.1.p	Pav_sc0000013.1_g070.1.mk
Prupe.6G138900.2.p	Pav_sc0008932.1_g020.1.mk
Prupe.6G290000.2.p	Pav_sc0001502.1_g430.1.mk
Prupe.6G185800.1.p	Pav_sc0003245.1_g010.1.mk
Prupe.6G250700.1.p	Pav_sc0000780.1_g190.1.mk
Prupe.6G137000.1.p	Pav_sc0000216.1_g1180.1.mk
Prupe.6G329400.1.p	Pav_sc0000700.1_g580.1.mk
Prupe.6G351600.2.p	Pav_sc0000396.1_g260.1.mk
Prupe.6G023500.1.p	Pav_sc0000719.1_g130.1.mk
Prupe.6G355300.1.p	Pav_sc0004456.1_g110.1.mk
Prupe.6G003300.2.p	Pav_sc0000659.1_g250.1.mk
Prupe.6G359300.2.p	Pav_sc0000744.1_g220.1.mk
Prupe.6G242000.1.p	Pav_sc0000636.1_g140.1.mk
Prupe.6G116100.1.p	Pav_sc0000467.1_g420.1.mk
Prupe.6G302600.1.p	Pav_sc0000829.1_g610.1.mk
Prupe.6G320800.2.p	Pav_sc0000671.1_g150.1.mk
Prupe.6G135100.1.p	Pav_sc0000159.1_g080.1.mk
Prupe.6G315400.1.p	Pav_sc0000907.1_g610.1.mk
Prupe.6G232600.1.p	Pav_sc0004730.1_g040.1.mk
Prupe.6G240900.1.p	Pav_sc0004666.1_g030.1.mk
Prupe.6G264500.1.p	Pav_sc0001794.1_g310.1.mk
Prupe.6G326600.2.p	Pav_sc0000700.1_g360.1.mk
Prupe.6G322200.1.p	Pav_sc0000671.1_g260.1.mk
Prupe.6G134600.3.p	Pav_sc0000168.1_g100.1.mk
Prupe.6G087100.1.p	Pav_sc0002963.1_g060.1.mk
Prupe.6G332600.1.p	Pav_sc0000700.1_g850.1.mk
Prupe.6G133900.1.p	Pav_sc0006956.1_g020.1.br
Prupe.6G360600.1.p	Pav_sc0000744.1_g360.1.mk
Prupe.6G191200.1.p	Pav_sc0006673.1_g020.1.mk
Prupe.6G090300.1.p	Pav_sc0000323.1_g310.1.mk
Prupe.6G152400.1.p	Pav_sc0000467.1_g920.1.mk
Prupe.6G111100.1.p	Pav_sc0000480.1_g1100.1.mk
Prupe.6G082400.1.p	Pav_sc0000862.1_g350.1.mk
Prupe.6G180400.1.p	Pav_sc0006781.1_g070.1.mk
Prupe.6G068300.1.p	Pav_sc0002858.1_g140.1.mk
Prupe.6G265100.1.p	Pav_sc0001794.1_g260.1.mk
Prupe.6G184800.3.p	Pav_sc0005174.1_g020.1.mk
Prupe.6G236200.1.p	Pav_sc0000711.1_g070.1.mk
Prupe.6G061400.1.p	Pav_sc0000062.1_g520.1.mk
Prupe.6G150100.1.p	Pav_sc0001251.1_g490.1.mk
Prupe.6G091800.1.p	Pav_sc0000323.1_g500.1.mk
Prupe.6G103800.1.p	Pav_sc0000480.1_g070.1.mk
Prupe.6G299900.1.p	Pav_sc0001699.1_g590.1.mk
Prupe.6G364200.1.p	Pav_sc0001774.1_g030.1.mk
Prupe.6G056600.1.p	Pav_sc0000638.1_g480.1.mk
Prupe.6G280400.1.p	Pav_sc0001503.1_g140.1.mk
Prupe.6G047700.1.p	Pav_sc0000375.1_g540.1.mk
Prupe.6G101300.3.p	Pav_sc0000094.1_g170.1.mk
Prupe.6G298900.1.p	Pav_sc0001699.1_g680.1.mk
Prupe.6G253100.2.p	Pav_sc0000780.1_g410.1.mk
Prupe.6G113500.1.p	Pav_sc0000467.1_g830.1.br
Prupe.6G224200.2.p	Pav_sc0000349.1_g110.1.mk
Prupe.6G193900.1.p	Pav_sc0002741.1_g070.1.mk
Prupe.6G133400.1.p	Pav_sc0002186.1_g070.1.br
Prupe.6G265000.1.p	Pav_sc0001794.1_g270.1.mk
Prupe.6G295300.1.p	Pav_sc0002318.1_g210.1.mk
Prupe.6G298500.3.p	Pav_sc0001699.1_g720.1.mk
Prupe.6G256900.3.p	Pav_sc0001280.1_g480.1.mk
Prupe.6G077400.1.p	Pav_sc0000087.1_g390.1.mk
Prupe.6G053800.1.p	Pav_sc0000638.1_g760.1.mk
Prupe.6G114800.1.p	Pav_sc0000467.1_g690.1.mk
Prupe.6G024700.2.p	Pav_sc0000719.1_g260.1.mk
Prupe.6G067900.1.p	Pav_sc0002858.1_g090.1.mk
Prupe.6G247600.1.p	Pav_sc0004593.1_g040.1.mk
Prupe.6G165100.1.p	Pav_sc0002645.1_g120.1.mk
Prupe.6G093100.1.p	Pav_sc0000323.1_g900.1.mk
Prupe.6G327700.1.p	Pav_sc0000700.1_g450.1.mk
Prupe.6G147000.1.p	Pav_sc0001640.1_g350.1.mk
Prupe.6G192100.1.p	Pav_sc0000639.1_g070.1.mk
Prupe.6G100100.1.p	Pav_sc0000094.1_g260.1.mk
Prupe.6G331700.1.p	Pav_sc0000700.1_g780.1.mk
Prupe.6G041100.1.p	Pav_sc0000206.1_g630.1.mk
Prupe.6G276600.1.p	Pav_sc0001925.1_g300.1.mk
Prupe.6G117700.1.p	Pav_sc0000467.1_g170.1.mk
Prupe.6G333600.2.p	Pav_sc0000586.1_g890.1.mk
Prupe.6G121700.1.p	Pav_sc0008273.1_g020.1.br
Prupe.6G299300.1.p	Pav_sc0001699.1_g640.1.mk
Prupe.6G067100.1.p	Pav_sc0002858.1_g020.1.mk
Prupe.6G188300.1.p	Pav_sc0004890.1_g010.1.mk
Prupe.6G331800.1.p	Pav_sc0001869.1_g950.1.mk
Prupe.6G071100.1.p	Pav_sc0000563.1_g130.1.mk
Prupe.6G302900.2.p	Pav_sc0001938.1_g530.1.mk
Prupe.6G287100.1.p	Pav_sc0001341.1_g650.1.mk
Prupe.6G060800.2.p	Pav_sc0000062.1_g610.1.mk
Prupe.6G212000.1.p	Pav_sc0001781.1_g110.1.mk
Prupe.6G106200.8.p	Pav_sc0000480.1_g470.1.mk
Prupe.6G020200.1.p	Pav_sc0002099.1_g060.1.mk
Prupe.6G287600.1.p	Pav_sc0001341.1_g740.1.mk
Prupe.6G036200.1.p	Pav_sc0001392.1_g130.1.mk
Prupe.6G048200.1.p	Pav_sc0000375.1_g610.1.mk
Prupe.6G228400.1.p	Pav_sc0001807.1_g060.1.mk
Prupe.6G333400.1.p	Pav_sc0000700.1_g940.1.mk
Prupe.6G092100.1.p	Pav_sc0000323.1_g730.1.mk
Prupe.6G224300.1.p	Pav_sc0000349.1_g120.1.mk
Prupe.6G256500.1.p	Pav_sc0001280.1_g510.1.mk
Prupe.6G029700.1.p	Pav_sc0000719.1_g1000.1.mk
Prupe.6G336300.1.p	Pav_sc0000700.1_g1320.1.mk
Prupe.6G315700.3.p	Pav_sc0000907.1_g640.1.mk
Prupe.6G191900.1.p	Pav_co3991025.1_g010.1.mk
Prupe.6G354000.1.p	Pav_sc0004456.1_g020.1.mk
Prupe.6G246400.1.p	Pav_sc0002197.1_g090.1.mk
Prupe.6G245800.1.p	Pav_sc0002197.1_g150.1.mk
Prupe.6G107900.2.p	Pav_sc0000480.1_g680.1.mk
Prupe.6G009400.1.p	Pav_sc0000909.1_g580.1.mk
Prupe.6G067500.1.p	Pav_sc0002858.1_g050.1.mk
Prupe.6G126500.1.p	Pav_sc0000977.1_g450.1.mk
Prupe.6G052300.1.p	Pav_sc0000638.1_g970.1.mk
Prupe.6G203200.1.p	Pav_sc0002061.1_g080.1.mk
Prupe.6G020400.1.p	Pav_sc0002099.1_g080.1.mk
Prupe.6G181400.2.p	Pav_sc0006393.1_g070.1.mk
Prupe.6G240200.1.p	Pav_sc0000203.1_g030.1.mk
Prupe.6G255300.1.p	Pav_sc0001250.1_g070.1.mk
Prupe.6G257300.1.p	Pav_sc0001280.1_g430.1.mk
Prupe.6G063600.1.p	Pav_sc0000062.1_g340.1.mk
Prupe.6G306800.2.p	Pav_sc0001938.1_g040.1.mk
Prupe.6G006700.1.p	Pav_sc0000909.1_g660.1.mk
Prupe.6G243000.1.p	Pav_sc0003845.1_g040.1.mk
Prupe.6G076300.1.p	Pav_sc0000087.1_g230.1.mk
Prupe.6G049100.2.p	Pav_sc0000375.1_g690.1.mk
Prupe.6G277600.1.p	Pav_sc0001925.1_g210.1.mk
Prupe.6G039100.1.p	Pav_sc0000206.1_g410.1.mk
Prupe.6G277300.1.p	Pav_sc0001925.1_g240.1.mk
Prupe.6G226000.1.p	Pav_sc0000049.1_g100.1.mk
Prupe.6G059500.1.p	Pav_sc0000638.1_g130.1.mk
Prupe.6G093200.1.p	Pav_sc0000323.1_g910.1.mk
Prupe.6G116600.1.p	Pav_sc0000467.1_g370.1.mk
Prupe.6G343100.1.p	Pav_sc0000396.1_g1160.1.mk
Prupe.6G202000.5.p	Pav_co4038429.1_g010.1.mk
Prupe.6G202000.4.p	Pav_sc0001224.1_g080.1.mk
Prupe.6G253000.1.p	Pav_sc0000780.1_g400.1.mk
Prupe.6G296600.2.p	Pav_sc0002318.1_g420.1.mk
Prupe.6G230100.2.p	Pav_sc0000196.1_g070.1.mk
Prupe.6G179400.1.p	Pav_sc0001702.1_g020.1.mk
Prupe.6G313500.1.p	Pav_sc0000907.1_g410.1.mk
Prupe.6G215700.1.p	Pav_sc0005905.1_g040.1.mk
Prupe.6G280100.1.p	Pav_sc0001503.1_g210.1.mk
Prupe.6G358700.1.p	Pav_sc0000744.1_g180.1.mk
Prupe.6G320300.1.p	Pav_sc0000671.1_g100.1.mk
Prupe.6G326900.1.p	Pav_sc0000700.1_g390.1.mk
Prupe.6G119900.2.p	Pav_sc0002589.1_g020.1.mk
Prupe.6G163900.1.p	Pav_sc0009952.1_g010.1.mk
Prupe.6G178100.1.p	Pav_sc0006282.1_g030.1.br
Prupe.6G001300.1.p	Pav_sc0000659.1_g470.1.mk
Prupe.6G118900.1.p	Pav_sc0000467.1_g030.1.mk
Prupe.6G256400.1.p	Pav_sc0001280.1_g520.1.mk
Prupe.6G257500.1.p	Pav_sc0001280.1_g410.1.mk
Prupe.6G040700.1.p	Pav_sc0000206.1_g560.1.br
Prupe.6G316800.5.p	Pav_sc0000907.1_g750.1.mk
Prupe.6G080000.1.p	Pav_sc0000087.1_g700.1.mk
Prupe.6G042300.1.p	Pav_sc0000375.1_g070.1.mk
Prupe.6G330800.1.p	Pav_sc0000700.1_g710.1.mk
Prupe.6G198300.1.p	Pav_sc0001817.1_g060.1.mk
Prupe.6G138800.1.p	Pav_sc0000271.1_g140.1.br
Prupe.6G351000.2.p	Pav_sc0000396.1_g310.1.mk
Prupe.6G211500.1.p	Pav_sc0004042.1_g020.1.mk
Prupe.6G212100.1.p	Pav_sc0001781.1_g120.1.mk
Prupe.6G085400.1.p	Pav_sc0000862.1_g060.1.mk
Prupe.6G207400.1.p	Pav_sc0003921.1_g010.1.br
Prupe.6G014800.1.p	Pav_sc0000909.1_g010.1.mk
Prupe.6G221600.1.p	Pav_sc0007668.1_g070.1.br
Prupe.6G149700.2.p	Pav_sc0001251.1_g510.1.mk
Prupe.6G352100.1.p	Pav_sc0000396.1_g140.1.mk
Prupe.6G290200.1.p	Pav_sc0001502.1_g470.1.mk
Prupe.6G147200.1.p	Pav_sc0001640.1_g250.1.mk
Prupe.6G262000.1.p	Pav_sc0000955.1_g070.1.mk
Prupe.6G293100.1.p	Pav_sc0002318.1_g020.1.mk
Prupe.6G039200.2.p	Pav_sc0000206.1_g420.1.mk
Prupe.6G297700.1.p	Pav_sc0002318.1_g510.1.mk
Prupe.6G296000.2.p	Pav_sc0002318.1_g350.1.mk
Prupe.6G181000.1.p	Pav_sc0001265.1_g110.1.br
Prupe.6G187800.1.p	Pav_co4037997.1_g010.1.mk
Prupe.6G052800.1.p	Pav_sc0000638.1_g880.1.mk
Prupe.6G243200.1.p	Pav_sc0011660.1_g010.1.br
Prupe.6G294800.1.p	Pav_sc0002318.1_g160.1.mk
Prupe.6G011700.1.p	Pav_sc0000909.1_g420.1.br
Prupe.6G217400.1.p	Pav_sc0005841.1_g020.1.mk
Prupe.6G075600.1.p	Pav_sc0000087.1_g170.1.mk
Prupe.6G129600.1.p	Pav_sc0001801.1_g160.1.mk
Prupe.6G017000.1.p	Pav_sc0002342.1_g020.1.br
Prupe.6G038700.1.p	Pav_sc0000206.1_g370.1.mk
Prupe.6G208000.1.p	Pav_sc0001114.1_g040.1.mk
Prupe.6G052000.1.p	Pav_sc0000638.1_g1010.1.mk
Prupe.6G145900.1.p	Pav_sc0001003.1_g310.1.br
Prupe.6G281500.1.p	Pav_sc0000864.1_g030.1.br
Prupe.6G022100.2.p	Pav_sc0000556.1_g070.1.mk
Prupe.6G348200.1.p	Pav_sc0000396.1_g710.1.mk
Prupe.6G273100.1.p	Pav_sc0001687.1_g160.1.mk
Prupe.6G124000.1.p	Pav_sc0000013.1_g020.1.mk
Prupe.6G262700.1.p	Pav_sc0001794.1_g600.1.mk
Prupe.6G332000.1.p	Pav_sc0000700.1_g1180.1.mk
Prupe.6G187700.1.p	Pav_sc0010200.1_g030.1.mk
Prupe.6G340000.1.p	Pav_sc0000700.1_g1620.1.mk
Prupe.6G245500.1.p	Pav_sc0002197.1_g180.1.mk
Prupe.6G349600.1.p	Pav_sc0000396.1_g490.1.br
Prupe.6G318500.1.p	Pav_sc0004475.1_g020.1.br
Prupe.6G235000.1.p	Pav_sc0011061.1_g020.1.mk
Prupe.6G299100.1.p	Pav_sc0001699.1_g660.1.mk
Prupe.6G035200.1.p	Pav_sc0001392.1_g330.1.mk
Prupe.6G076700.1.p	Pav_sc0000087.1_g310.1.mk
Prupe.6G258500.1.p	Pav_sc0001280.1_g340.1.mk
Prupe.6G092500.2.p	Pav_sc0000323.1_g780.1.mk
Prupe.6G033700.2.p	Pav_sc0001392.1_g400.1.mk
Prupe.6G109600.1.p	Pav_sc0000480.1_g920.1.mk
Prupe.6G289900.1.p	Pav_sc0001502.1_g420.1.mk
Prupe.6G349100.1.p	Pav_sc0000396.1_g540.1.mk
Prupe.6G037100.1.p	Pav_sc0000206.1_g130.1.mk
Prupe.6G255000.1.p	Pav_sc0001250.1_g100.1.mk
Prupe.6G361800.2.p	Pav_sc0000744.1_g470.1.mk
Prupe.6G157500.1.p	Pav_sc0000382.1_g010.1.mk
Prupe.6G142200.1.p	Pav_sc0000161.1_g040.1.br
Prupe.6G148300.1.p	Pav_sc0000858.1_g130.1.mk
Prupe.6G218900.1.p	Pav_sc0000142.1_g030.1.mk
Prupe.6G291300.1.p	Pav_sc0000955.1_g030.1.br
